Linear time: 3187
50 100 84
75 100 84
75 87 84
81 87 84
0 100 11
0 50 11
0 25 11
0 12 11
6 12 11
9 12 11
10 12 11
0 100 82
50 100 82
75 100 82
75 87 82
81 87 82
81 84 82
0 100 90
50 100 90
75 100 90
87 100 90
87 93 90
0 100 76
50 100 76
75 100 76
75 87 76
75 81 76
75 78 76
0 100 99
50 100 99
75 100 99
87 100 99
93 100 99
96 100 99
98 100 99
0 100 63
50 100 63
50 75 63
62 75 63
62 68 63
62 65 63
0 100 88
50 100 88
75 100 88
87 100 88
87 93 88
87 90 88
0 100 9
0 50 9
0 25 9
0 12 9
6 12 9
0 100 58
50 100 58
50 75 58
50 62 58
56 62 58
56 59 58
57 59 58
0 100 2
0 50 2
0 25 2
0 12 2
0 6 2
0 3 2
1 3 2
0 100 63
50 100 63
50 75 63
62 75 63
62 68 63
62 65 63
0 100 31
0 50 31
25 50 31
25 37 31
0 100 80
50 100 80
75 100 80
75 87 80
75 81 80
78 81 80
79 81 80
0 100 15
0 50 15
0 25 15
12 25 15
12 18 15
0 100 29
0 50 29
25 50 29
25 37 29
25 31 29
28 31 29
0 100 60
50 100 60
50 75 60
50 62 60
56 62 60
59 62 60
0 100 67
50 100 67
50 75 67
62 75 67
62 68 67
65 68 67
66 68 67
0 100 57
50 100 57
50 75 57
50 62 57
56 62 57
56 59 57
0 100 73
50 100 73
50 75 73
62 75 73
68 75 73
71 75 73
0 100 62
50 100 62
50 75 62
0 100 15
0 50 15
0 25 15
12 25 15
12 18 15
0 100 49
0 50 49
25 50 49
37 50 49
43 50 49
46 50 49
48 50 49
0 100 37
0 50 37
25 50 37
0 100 0
0 50 0
0 25 0
0 12 0
0 6 0
0 3 0
0 1 0
0 100 14
0 50 14
0 25 14
12 25 14
12 18 14
12 15 14
13 15 14
0 100 44
0 50 44
25 50 44
37 50 44
43 50 44
43 46 44
0 100 60
50 100 60
50 75 60
50 62 60
56 62 60
59 62 60
0 100 45
0 50 45
25 50 45
37 50 45
43 50 45
43 46 45
44 46 45
0 100 1
0 50 1
0 25 1
0 12 1
0 6 1
0 3 1
0 100 54
50 100 54
50 75 54
50 62 54
50 56 54
53 56 54
0 100 9
0 50 9
0 25 9
0 12 9
6 12 9
0 100 10
0 50 10
0 25 10
0 12 10
6 12 10
9 12 10
0 100 20
0 50 20
0 25 20
12 25 20
18 25 20
18 21 20
19 21 20
0 100 51
50 100 51
50 75 51
50 62 51
50 56 51
50 53 51
0 100 22
0 50 22
0 25 22
12 25 22
18 25 22
21 25 22
21 23 22
0 100 97
50 100 97
75 100 97
87 100 97
93 100 97
96 100 97
96 98 97
0 100 3
0 50 3
0 25 3
0 12 3
0 6 3
0 100 24
0 50 24
0 25 24
12 25 24
18 25 24
21 25 24
23 25 24
0 100 57
50 100 57
50 75 57
50 62 57
56 62 57
56 59 57
0 100 30
0 50 30
25 50 30
25 37 30
25 31 30
28 31 30
29 31 30
0 100 86
50 100 86
75 100 86
75 87 86
81 87 86
84 87 86
85 87 86
0 100 19
0 50 19
0 25 19
12 25 19
18 25 19
18 21 19
0 100 50
0 100 43
0 50 43
25 50 43
37 50 43
0 100 13
0 50 13
0 25 13
12 25 13
12 18 13
12 15 13
0 100 0
0 50 0
0 25 0
0 12 0
0 6 0
0 3 0
0 1 0
0 100 10
0 50 10
0 25 10
0 12 10
6 12 10
9 12 10
0 100 40
0 50 40
25 50 40
37 50 40
37 43 40
0 100 41
0 50 41
25 50 41
37 50 41
37 43 41
40 43 41
0 100 52
50 100 52
50 75 52
50 62 52
50 56 52
50 53 52
51 53 52
0 100 51
50 100 51
50 75 51
50 62 51
50 56 51
50 53 51
0 100 52
50 100 52
50 75 52
50 62 52
50 56 52
50 53 52
51 53 52
0 100 98
50 100 98
75 100 98
87 100 98
93 100 98
96 100 98
0 100 93
50 100 93
75 100 93
87 100 93
0 100 56
50 100 56
50 75 56
50 62 56
0 100 48
0 50 48
25 50 48
37 50 48
43 50 48
46 50 48
0 100 54
50 100 54
50 75 54
50 62 54
50 56 54
53 56 54
0 100 88
50 100 88
75 100 88
87 100 88
87 93 88
87 90 88
0 100 59
50 100 59
50 75 59
50 62 59
56 62 59
0 100 25
0 50 25
0 100 15
0 50 15
0 25 15
12 25 15
12 18 15
0 100 59
50 100 59
50 75 59
50 62 59
56 62 59
0 100 70
50 100 70
50 75 70
62 75 70
68 75 70
68 71 70
69 71 70
0 100 34
0 50 34
25 50 34
25 37 34
31 37 34
0 100 45
0 50 45
25 50 45
37 50 45
43 50 45
43 46 45
44 46 45
0 100 17
0 50 17
0 25 17
12 25 17
12 18 17
15 18 17
16 18 17
0 100 0
0 50 0
0 25 0
0 12 0
0 6 0
0 3 0
0 1 0
0 100 8
0 50 8
0 25 8
0 12 8
6 12 8
6 9 8
7 9 8
0 100 3
0 50 3
0 25 3
0 12 3
0 6 3
0 100 11
0 50 11
0 25 11
0 12 11
6 12 11
9 12 11
10 12 11
0 100 46
0 50 46
25 50 46
37 50 46
43 50 46
0 100 37
0 50 37
25 50 37
0 100 84
50 100 84
75 100 84
75 87 84
81 87 84
0 100 91
50 100 91
75 100 91
87 100 91
87 93 91
90 93 91
0 100 95
50 100 95
75 100 95
87 100 95
93 100 95
93 96 95
94 96 95
0 100 28
0 50 28
25 50 28
25 37 28
25 31 28
0 100 14
0 50 14
0 25 14
12 25 14
12 18 14
12 15 14
13 15 14
0 100 97
50 100 97
75 100 97
87 100 97
93 100 97
96 100 97
96 98 97
0 100 20
0 50 20
0 25 20
12 25 20
18 25 20
18 21 20
19 21 20
0 100 55
50 100 55
50 75 55
50 62 55
50 56 55
53 56 55
54 56 55
0 100 11
0 50 11
0 25 11
0 12 11
6 12 11
9 12 11
10 12 11
0 100 87
50 100 87
75 100 87
0 100 16
0 50 16
0 25 16
12 25 16
12 18 16
15 18 16
0 100 41
0 50 41
25 50 41
37 50 41
37 43 41
40 43 41
0 100 88
50 100 88
75 100 88
87 100 88
87 93 88
87 90 88
0 100 5
0 50 5
0 25 5
0 12 5
0 6 5
3 6 5
4 6 5
0 100 20
0 50 20
0 25 20
12 25 20
18 25 20
18 21 20
19 21 20
0 100 35
0 50 35
25 50 35
25 37 35
31 37 35
34 37 35
0 100 31
0 50 31
25 50 31
25 37 31
0 100 37
0 50 37
25 50 37
0 100 83
50 100 83
75 100 83
75 87 83
81 87 83
81 84 83
82 84 83
0 100 5
0 50 5
0 25 5
0 12 5
0 6 5
3 6 5
4 6 5
0 100 92
50 100 92
75 100 92
87 100 92
87 93 92
90 93 92
91 93 92
0 100 17
0 50 17
0 25 17
12 25 17
12 18 17
15 18 17
16 18 17
0 100 58
50 100 58
50 75 58
50 62 58
56 62 58
56 59 58
57 59 58
0 100 14
0 50 14
0 25 14
12 25 14
12 18 14
12 15 14
13 15 14
0 100 96
50 100 96
75 100 96
87 100 96
93 100 96
0 100 14
0 50 14
0 25 14
12 25 14
12 18 14
12 15 14
13 15 14
0 100 87
50 100 87
75 100 87
0 100 87
50 100 87
75 100 87
0 100 59
50 100 59
50 75 59
50 62 59
56 62 59
0 100 41
0 50 41
25 50 41
37 50 41
37 43 41
40 43 41
0 100 79
50 100 79
75 100 79
75 87 79
75 81 79
78 81 79
0 100 10
0 50 10
0 25 10
0 12 10
6 12 10
9 12 10
0 100 16
0 50 16
0 25 16
12 25 16
12 18 16
15 18 16
0 100 66
50 100 66
50 75 66
62 75 66
62 68 66
65 68 66
0 100 78
50 100 78
75 100 78
75 87 78
75 81 78
0 100 80
50 100 80
75 100 80
75 87 80
75 81 80
78 81 80
79 81 80
0 100 31
0 50 31
25 50 31
25 37 31
0 100 38
0 50 38
25 50 38
37 50 38
37 43 38
37 40 38
0 100 39
0 50 39
25 50 39
37 50 39
37 43 39
37 40 39
38 40 39
0 100 89
50 100 89
75 100 89
87 100 89
87 93 89
87 90 89
88 90 89
0 100 84
50 100 84
75 100 84
75 87 84
81 87 84
0 100 75
50 100 75
0 100 66
50 100 66
50 75 66
62 75 66
62 68 66
65 68 66
0 100 61
50 100 61
50 75 61
50 62 61
56 62 61
59 62 61
60 62 61
0 100 95
50 100 95
75 100 95
87 100 95
93 100 95
93 96 95
94 96 95
0 100 82
50 100 82
75 100 82
75 87 82
81 87 82
81 84 82
0 100 67
50 100 67
50 75 67
62 75 67
62 68 67
65 68 67
66 68 67
0 100 6
0 50 6
0 25 6
0 12 6
0 100 48
0 50 48
25 50 48
37 50 48
43 50 48
46 50 48
0 100 82
50 100 82
75 100 82
75 87 82
81 87 82
81 84 82
0 100 71
50 100 71
50 75 71
62 75 71
68 75 71
0 100 42
0 50 42
25 50 42
37 50 42
37 43 42
40 43 42
41 43 42
0 100 11
0 50 11
0 25 11
0 12 11
6 12 11
9 12 11
10 12 11
0 100 28
0 50 28
25 50 28
25 37 28
25 31 28
0 100 93
50 100 93
75 100 93
87 100 93
0 100 47
0 50 47
25 50 47
37 50 47
43 50 47
46 50 47
46 48 47
0 100 76
50 100 76
75 100 76
75 87 76
75 81 76
75 78 76
0 100 73
50 100 73
50 75 73
62 75 73
68 75 73
71 75 73
0 100 63
50 100 63
50 75 63
62 75 63
62 68 63
62 65 63
0 100 13
0 50 13
0 25 13
12 25 13
12 18 13
12 15 13
0 100 42
0 50 42
25 50 42
37 50 42
37 43 42
40 43 42
41 43 42
0 100 74
50 100 74
50 75 74
62 75 74
68 75 74
71 75 74
73 75 74
0 100 52
50 100 52
50 75 52
50 62 52
50 56 52
50 53 52
51 53 52
0 100 73
50 100 73
50 75 73
62 75 73
68 75 73
71 75 73
0 100 11
0 50 11
0 25 11
0 12 11
6 12 11
9 12 11
10 12 11
0 100 68
50 100 68
50 75 68
62 75 68
0 100 64
50 100 64
50 75 64
62 75 64
62 68 64
62 65 64
63 65 64
0 100 74
50 100 74
50 75 74
62 75 74
68 75 74
71 75 74
73 75 74
0 100 66
50 100 66
50 75 66
62 75 66
62 68 66
65 68 66
0 100 29
0 50 29
25 50 29
25 37 29
25 31 29
28 31 29
0 100 31
0 50 31
25 50 31
25 37 31
0 100 62
50 100 62
50 75 62
0 100 16
0 50 16
0 25 16
12 25 16
12 18 16
15 18 16
0 100 50
0 100 86
50 100 86
75 100 86
75 87 86
81 87 86
84 87 86
85 87 86
0 100 16
0 50 16
0 25 16
12 25 16
12 18 16
15 18 16
0 100 15
0 50 15
0 25 15
12 25 15
12 18 15
0 100 75
50 100 75
0 100 83
50 100 83
75 100 83
75 87 83
81 87 83
81 84 83
82 84 83
0 100 89
50 100 89
75 100 89
87 100 89
87 93 89
87 90 89
88 90 89
0 100 73
50 100 73
50 75 73
62 75 73
68 75 73
71 75 73
0 100 41
0 50 41
25 50 41
37 50 41
37 43 41
40 43 41
0 100 64
50 100 64
50 75 64
62 75 64
62 68 64
62 65 64
63 65 64
0 100 74
50 100 74
50 75 74
62 75 74
68 75 74
71 75 74
73 75 74
0 100 45
0 50 45
25 50 45
37 50 45
43 50 45
43 46 45
44 46 45
0 100 37
0 50 37
25 50 37
0 100 95
50 100 95
75 100 95
87 100 95
93 100 95
93 96 95
94 96 95
0 100 52
50 100 52
50 75 52
50 62 52
50 56 52
50 53 52
51 53 52
0 100 73
50 100 73
50 75 73
62 75 73
68 75 73
71 75 73
0 100 74
50 100 74
50 75 74
62 75 74
68 75 74
71 75 74
73 75 74
0 100 69
50 100 69
50 75 69
62 75 69
68 75 69
68 71 69
0 100 15
0 50 15
0 25 15
12 25 15
12 18 15
0 100 73
50 100 73
50 75 73
62 75 73
68 75 73
71 75 73
0 100 37
0 50 37
25 50 37
0 100 45
0 50 45
25 50 45
37 50 45
43 50 45
43 46 45
44 46 45
0 100 97
50 100 97
75 100 97
87 100 97
93 100 97
96 100 97
96 98 97
0 100 43
0 50 43
25 50 43
37 50 43
0 100 5
0 50 5
0 25 5
0 12 5
0 6 5
3 6 5
4 6 5
0 100 96
50 100 96
75 100 96
87 100 96
93 100 96
0 100 87
50 100 87
75 100 87
0 100 1
0 50 1
0 25 1
0 12 1
0 6 1
0 3 1
0 100 77
50 100 77
75 100 77
75 87 77
75 81 77
75 78 77
76 78 77
0 100 64
50 100 64
50 75 64
62 75 64
62 68 64
62 65 64
63 65 64
0 100 61
50 100 61
50 75 61
50 62 61
56 62 61
59 62 61
60 62 61
0 100 99
50 100 99
75 100 99
87 100 99
93 100 99
96 100 99
98 100 99
0 100 21
0 50 21
0 25 21
12 25 21
18 25 21
0 100 82
50 100 82
75 100 82
75 87 82
81 87 82
81 84 82
0 100 31
0 50 31
25 50 31
25 37 31
0 100 21
0 50 21
0 25 21
12 25 21
18 25 21
0 100 81
50 100 81
75 100 81
75 87 81
0 100 17
0 50 17
0 25 17
12 25 17
12 18 17
15 18 17
16 18 17
0 100 32
0 50 32
25 50 32
25 37 32
31 37 32
31 34 32
0 100 94
50 100 94
75 100 94
87 100 94
93 100 94
93 96 94
0 100 33
0 50 33
25 50 33
25 37 33
31 37 33
31 34 33
32 34 33
0 100 60
50 100 60
50 75 60
50 62 60
56 62 60
59 62 60
0 100 59
50 100 59
50 75 59
50 62 59
56 62 59
0 100 74
50 100 74
50 75 74
62 75 74
68 75 74
71 75 74
73 75 74
0 100 24
0 50 24
0 25 24
12 25 24
18 25 24
21 25 24
23 25 24
0 100 76
50 100 76
75 100 76
75 87 76
75 81 76
75 78 76
0 100 27
0 50 27
25 50 27
25 37 27
25 31 27
25 28 27
26 28 27
0 100 55
50 100 55
50 75 55
50 62 55
50 56 55
53 56 55
54 56 55
0 100 69
50 100 69
50 75 69
62 75 69
68 75 69
68 71 69
0 100 48
0 50 48
25 50 48
37 50 48
43 50 48
46 50 48
0 100 83
50 100 83
75 100 83
75 87 83
81 87 83
81 84 83
82 84 83
0 100 15
0 50 15
0 25 15
12 25 15
12 18 15
0 100 47
0 50 47
25 50 47
37 50 47
43 50 47
46 50 47
46 48 47
0 100 38
0 50 38
25 50 38
37 50 38
37 43 38
37 40 38
0 100 47
0 50 47
25 50 47
37 50 47
43 50 47
46 50 47
46 48 47
0 100 58
50 100 58
50 75 58
50 62 58
56 62 58
56 59 58
57 59 58
0 100 85
50 100 85
75 100 85
75 87 85
81 87 85
84 87 85
0 100 59
50 100 59
50 75 59
50 62 59
56 62 59
0 100 45
0 50 45
25 50 45
37 50 45
43 50 45
43 46 45
44 46 45
0 100 92
50 100 92
75 100 92
87 100 92
87 93 92
90 93 92
91 93 92
0 100 84
50 100 84
75 100 84
75 87 84
81 87 84
0 100 18
0 50 18
0 25 18
12 25 18
0 100 92
50 100 92
75 100 92
87 100 92
87 93 92
90 93 92
91 93 92
0 100 61
50 100 61
50 75 61
50 62 61
56 62 61
59 62 61
60 62 61
0 100 1
0 50 1
0 25 1
0 12 1
0 6 1
0 3 1
0 100 9
0 50 9
0 25 9
0 12 9
6 12 9
0 100 5
0 50 5
0 25 5
0 12 5
0 6 5
3 6 5
4 6 5
0 100 97
50 100 97
75 100 97
87 100 97
93 100 97
96 100 97
96 98 97
0 100 91
50 100 91
75 100 91
87 100 91
87 93 91
90 93 91
0 100 29
0 50 29
25 50 29
25 37 29
25 31 29
28 31 29
0 100 7
0 50 7
0 25 7
0 12 7
6 12 7
6 9 7
0 100 63
50 100 63
50 75 63
62 75 63
62 68 63
62 65 63
0 100 3
0 50 3
0 25 3
0 12 3
0 6 3
0 100 74
50 100 74
50 75 74
62 75 74
68 75 74
71 75 74
73 75 74
0 100 37
0 50 37
25 50 37
0 100 17
0 50 17
0 25 17
12 25 17
12 18 17
15 18 17
16 18 17
0 100 20
0 50 20
0 25 20
12 25 20
18 25 20
18 21 20
19 21 20
0 100 92
50 100 92
75 100 92
87 100 92
87 93 92
90 93 92
91 93 92
0 100 14
0 50 14
0 25 14
12 25 14
12 18 14
12 15 14
13 15 14
0 100 91
50 100 91
75 100 91
87 100 91
87 93 91
90 93 91
0 100 10
0 50 10
0 25 10
0 12 10
6 12 10
9 12 10
0 100 97
50 100 97
75 100 97
87 100 97
93 100 97
96 100 97
96 98 97
0 100 56
50 100 56
50 75 56
50 62 56
0 100 22
0 50 22
0 25 22
12 25 22
18 25 22
21 25 22
21 23 22
0 100 83
50 100 83
75 100 83
75 87 83
81 87 83
81 84 83
82 84 83
0 100 62
50 100 62
50 75 62
0 100 75
50 100 75
0 100 95
50 100 95
75 100 95
87 100 95
93 100 95
93 96 95
94 96 95
0 100 24
0 50 24
0 25 24
12 25 24
18 25 24
21 25 24
23 25 24
0 100 40
0 50 40
25 50 40
37 50 40
37 43 40
0 100 94
50 100 94
75 100 94
87 100 94
93 100 94
93 96 94
0 100 76
50 100 76
75 100 76
75 87 76
75 81 76
75 78 76
0 100 66
50 100 66
50 75 66
62 75 66
62 68 66
65 68 66
0 100 97
50 100 97
75 100 97
87 100 97
93 100 97
96 100 97
96 98 97
0 100 25
0 50 25
0 100 7
0 50 7
0 25 7
0 12 7
6 12 7
6 9 7
0 100 12
0 50 12
0 25 12
0 100 88
50 100 88
75 100 88
87 100 88
87 93 88
87 90 88
0 100 26
0 50 26
25 50 26
25 37 26
25 31 26
25 28 26
0 100 15
0 50 15
0 25 15
12 25 15
12 18 15
0 100 46
0 50 46
25 50 46
37 50 46
43 50 46
0 100 19
0 50 19
0 25 19
12 25 19
18 25 19
18 21 19
0 100 69
50 100 69
50 75 69
62 75 69
68 75 69
68 71 69
0 100 64
50 100 64
50 75 64
62 75 64
62 68 64
62 65 64
63 65 64
0 100 1
0 50 1
0 25 1
0 12 1
0 6 1
0 3 1
0 100 28
0 50 28
25 50 28
25 37 28
25 31 28
0 100 58
50 100 58
50 75 58
50 62 58
56 62 58
56 59 58
57 59 58
0 100 4
0 50 4
0 25 4
0 12 4
0 6 4
3 6 4
0 100 74
50 100 74
50 75 74
62 75 74
68 75 74
71 75 74
73 75 74
0 100 63
50 100 63
50 75 63
62 75 63
62 68 63
62 65 63
0 100 54
50 100 54
50 75 54
50 62 54
50 56 54
53 56 54
0 100 67
50 100 67
50 75 67
62 75 67
62 68 67
65 68 67
66 68 67
0 100 61
50 100 61
50 75 61
50 62 61
56 62 61
59 62 61
60 62 61
0 100 18
0 50 18
0 25 18
12 25 18
0 100 74
50 100 74
50 75 74
62 75 74
68 75 74
71 75 74
73 75 74
0 100 35
0 50 35
25 50 35
25 37 35
31 37 35
34 37 35
0 100 82
50 100 82
75 100 82
75 87 82
81 87 82
81 84 82
0 100 11
0 50 11
0 25 11
0 12 11
6 12 11
9 12 11
10 12 11
0 100 69
50 100 69
50 75 69
62 75 69
68 75 69
68 71 69
0 100 2
0 50 2
0 25 2
0 12 2
0 6 2
0 3 2
1 3 2
0 100 94
50 100 94
75 100 94
87 100 94
93 100 94
93 96 94
0 100 11
0 50 11
0 25 11
0 12 11
6 12 11
9 12 11
10 12 11
0 100 54
50 100 54
50 75 54
50 62 54
50 56 54
53 56 54
0 100 33
0 50 33
25 50 33
25 37 33
31 37 33
31 34 33
32 34 33
0 100 56
50 100 56
50 75 56
50 62 56
0 100 0
0 50 0
0 25 0
0 12 0
0 6 0
0 3 0
0 1 0
0 100 89
50 100 89
75 100 89
87 100 89
87 93 89
87 90 89
88 90 89
0 100 35
0 50 35
25 50 35
25 37 35
31 37 35
34 37 35
0 100 28
0 50 28
25 50 28
25 37 28
25 31 28
0 100 6
0 50 6
0 25 6
0 12 6
0 100 90
50 100 90
75 100 90
87 100 90
87 93 90
0 100 14
0 50 14
0 25 14
12 25 14
12 18 14
12 15 14
13 15 14
0 100 82
50 100 82
75 100 82
75 87 82
81 87 82
81 84 82
0 100 95
50 100 95
75 100 95
87 100 95
93 100 95
93 96 95
94 96 95
0 100 35
0 50 35
25 50 35
25 37 35
31 37 35
34 37 35
0 100 70
50 100 70
50 75 70
62 75 70
68 75 70
68 71 70
69 71 70
0 100 32
0 50 32
25 50 32
25 37 32
31 37 32
31 34 32
0 100 98
50 100 98
75 100 98
87 100 98
93 100 98
96 100 98
0 100 40
0 50 40
25 50 40
37 50 40
37 43 40
0 100 4
0 50 4
0 25 4
0 12 4
0 6 4
3 6 4
0 100 97
50 100 97
75 100 97
87 100 97
93 100 97
96 100 97
96 98 97
0 100 52
50 100 52
50 75 52
50 62 52
50 56 52
50 53 52
51 53 52
0 100 34
0 50 34
25 50 34
25 37 34
31 37 34
0 100 49
0 50 49
25 50 49
37 50 49
43 50 49
46 50 49
48 50 49
0 100 98
50 100 98
75 100 98
87 100 98
93 100 98
96 100 98
0 100 82
50 100 82
75 100 82
75 87 82
81 87 82
81 84 82
0 100 30
0 50 30
25 50 30
25 37 30
25 31 30
28 31 30
29 31 30
0 100 9
0 50 9
0 25 9
0 12 9
6 12 9
0 100 99
50 100 99
75 100 99
87 100 99
93 100 99
96 100 99
98 100 99
0 100 63
50 100 63
50 75 63
62 75 63
62 68 63
62 65 63
0 100 5
0 50 5
0 25 5
0 12 5
0 6 5
3 6 5
4 6 5
0 100 3
0 50 3
0 25 3
0 12 3
0 6 3
0 100 31
0 50 31
25 50 31
25 37 31
0 100 61
50 100 61
50 75 61
50 62 61
56 62 61
59 62 61
60 62 61
0 100 47
0 50 47
25 50 47
37 50 47
43 50 47
46 50 47
46 48 47
0 100 59
50 100 59
50 75 59
50 62 59
56 62 59
0 100 2
0 50 2
0 25 2
0 12 2
0 6 2
0 3 2
1 3 2
0 100 37
0 50 37
25 50 37
0 100 51
50 100 51
50 75 51
50 62 51
50 56 51
50 53 51
0 100 79
50 100 79
75 100 79
75 87 79
75 81 79
78 81 79
0 100 79
50 100 79
75 100 79
75 87 79
75 81 79
78 81 79
0 100 76
50 100 76
75 100 76
75 87 76
75 81 76
75 78 76
0 100 38
0 50 38
25 50 38
37 50 38
37 43 38
37 40 38
0 100 11
0 50 11
0 25 11
0 12 11
6 12 11
9 12 11
10 12 11
0 100 54
50 100 54
50 75 54
50 62 54
50 56 54
53 56 54
0 100 57
50 100 57
50 75 57
50 62 57
56 62 57
56 59 57
0 100 73
50 100 73
50 75 73
62 75 73
68 75 73
71 75 73
0 100 88
50 100 88
75 100 88
87 100 88
87 93 88
87 90 88
0 100 52
50 100 52
50 75 52
50 62 52
50 56 52
50 53 52
51 53 52
0 100 72
50 100 72
50 75 72
62 75 72
68 75 72
71 75 72
71 73 72
0 100 7
0 50 7
0 25 7
0 12 7
6 12 7
6 9 7
0 100 40
0 50 40
25 50 40
37 50 40
37 43 40
0 100 46
0 50 46
25 50 46
37 50 46
43 50 46
0 100 13
0 50 13
0 25 13
12 25 13
12 18 13
12 15 13
0 100 36
0 50 36
25 50 36
25 37 36
31 37 36
34 37 36
35 37 36
0 100 68
50 100 68
50 75 68
62 75 68
0 100 45
0 50 45
25 50 45
37 50 45
43 50 45
43 46 45
44 46 45
0 100 31
0 50 31
25 50 31
25 37 31
0 100 91
50 100 91
75 100 91
87 100 91
87 93 91
90 93 91
0 100 54
50 100 54
50 75 54
50 62 54
50 56 54
53 56 54
0 100 39
0 50 39
25 50 39
37 50 39
37 43 39
37 40 39
38 40 39
0 100 44
0 50 44
25 50 44
37 50 44
43 50 44
43 46 44
0 100 38
0 50 38
25 50 38
37 50 38
37 43 38
37 40 38
0 100 10
0 50 10
0 25 10
0 12 10
6 12 10
9 12 10
0 100 23
0 50 23
0 25 23
12 25 23
18 25 23
21 25 23
0 100 45
0 50 45
25 50 45
37 50 45
43 50 45
43 46 45
44 46 45
0 100 19
0 50 19
0 25 19
12 25 19
18 25 19
18 21 19
0 100 61
50 100 61
50 75 61
50 62 61
56 62 61
59 62 61
60 62 61
0 100 27
0 50 27
25 50 27
25 37 27
25 31 27
25 28 27
26 28 27
0 100 90
50 100 90
75 100 90
87 100 90
87 93 90
0 100 21
0 50 21
0 25 21
12 25 21
18 25 21
0 100 78
50 100 78
75 100 78
75 87 78
75 81 78
0 100 35
0 50 35
25 50 35
25 37 35
31 37 35
34 37 35
0 100 77
50 100 77
75 100 77
75 87 77
75 81 77
75 78 77
76 78 77
0 100 97
50 100 97
75 100 97
87 100 97
93 100 97
96 100 97
96 98 97
0 100 57
50 100 57
50 75 57
50 62 57
56 62 57
56 59 57
0 100 95
50 100 95
75 100 95
87 100 95
93 100 95
93 96 95
94 96 95
0 100 93
50 100 93
75 100 93
87 100 93
0 100 51
50 100 51
50 75 51
50 62 51
50 56 51
50 53 51
0 100 73
50 100 73
50 75 73
62 75 73
68 75 73
71 75 73
0 100 69
50 100 69
50 75 69
62 75 69
68 75 69
68 71 69
0 100 31
0 50 31
25 50 31
25 37 31
0 100 37
0 50 37
25 50 37
0 100 78
50 100 78
75 100 78
75 87 78
75 81 78
0 100 85
50 100 85
75 100 85
75 87 85
81 87 85
84 87 85
0 100 92
50 100 92
75 100 92
87 100 92
87 93 92
90 93 92
91 93 92
0 100 62
50 100 62
50 75 62
0 100 20
0 50 20
0 25 20
12 25 20
18 25 20
18 21 20
19 21 20
0 100 6
0 50 6
0 25 6
0 12 6
0 100 45
0 50 45
25 50 45
37 50 45
43 50 45
43 46 45
44 46 45
0 100 1
0 50 1
0 25 1
0 12 1
0 6 1
0 3 1
0 100 79
50 100 79
75 100 79
75 87 79
75 81 79
78 81 79
0 100 5
0 50 5
0 25 5
0 12 5
0 6 5
3 6 5
4 6 5
0 100 44
0 50 44
25 50 44
37 50 44
43 50 44
43 46 44
0 100 61
50 100 61
50 75 61
50 62 61
56 62 61
59 62 61
60 62 61
0 100 72
50 100 72
50 75 72
62 75 72
68 75 72
71 75 72
71 73 72
0 100 98
50 100 98
75 100 98
87 100 98
93 100 98
96 100 98
0 100 92
50 100 92
75 100 92
87 100 92
87 93 92
90 93 92
91 93 92
0 100 57
50 100 57
50 75 57
50 62 57
56 62 57
56 59 57
0 100 12
0 50 12
0 25 12
0 100 83
50 100 83
75 100 83
75 87 83
81 87 83
81 84 83
82 84 83
0 100 36
0 50 36
25 50 36
25 37 36
31 37 36
34 37 36
35 37 36
0 100 77
50 100 77
75 100 77
75 87 77
75 81 77
75 78 77
76 78 77
0 100 64
50 100 64
50 75 64
62 75 64
62 68 64
62 65 64
63 65 64
0 100 34
0 50 34
25 50 34
25 37 34
31 37 34
0 100 29
0 50 29
25 50 29
25 37 29
25 31 29
28 31 29
0 100 79
50 100 79
75 100 79
75 87 79
75 81 79
78 81 79
0 100 94
50 100 94
75 100 94
87 100 94
93 100 94
93 96 94
0 100 88
50 100 88
75 100 88
87 100 88
87 93 88
87 90 88
0 100 67
50 100 67
50 75 67
62 75 67
62 68 67
65 68 67
66 68 67
0 100 5
0 50 5
0 25 5
0 12 5
0 6 5
3 6 5
4 6 5
0 100 52
50 100 52
50 75 52
50 62 52
50 56 52
50 53 52
51 53 52
0 100 27
0 50 27
25 50 27
25 37 27
25 31 27
25 28 27
26 28 27
0 100 46
0 50 46
25 50 46
37 50 46
43 50 46
0 100 44
0 50 44
25 50 44
37 50 44
43 50 44
43 46 44
0 100 30
0 50 30
25 50 30
25 37 30
25 31 30
28 31 30
29 31 30
0 100 96
50 100 96
75 100 96
87 100 96
93 100 96
0 100 62
50 100 62
50 75 62
0 100 73
50 100 73
50 75 73
62 75 73
68 75 73
71 75 73
0 100 33
0 50 33
25 50 33
25 37 33
31 37 33
31 34 33
32 34 33
0 100 89
50 100 89
75 100 89
87 100 89
87 93 89
87 90 89
88 90 89
0 100 72
50 100 72
50 75 72
62 75 72
68 75 72
71 75 72
71 73 72
0 100 65
50 100 65
50 75 65
62 75 65
62 68 65
0 100 52
50 100 52
50 75 52
50 62 52
50 56 52
50 53 52
51 53 52
0 100 6
0 50 6
0 25 6
0 12 6
0 100 12
0 50 12
0 25 12
0 100 42
0 50 42
25 50 42
37 50 42
37 43 42
40 43 42
41 43 42
0 100 35
0 50 35
25 50 35
25 37 35
31 37 35
34 37 35
0 100 16
0 50 16
0 25 16
12 25 16
12 18 16
15 18 16
0 100 77
